,Year,Brand,Model,Cost,City,State,Mileage,Accident,Body,Engine,Owners,Usefor,Services
0,2017,Maserati,Ghibli_S_Q4, 33532, Irondale, AL ,71656,No Accident or Damage Reported,Sedan,White_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,12
1,2018,Maserati,Ghibli_S_Q4_GranSport, 54995, San Ramon, CA ,13783,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,2
2,2018,Maserati,Ghibli_Base, 41995, Pelham, AL ,21861,No Accident or Damage Reported,Sedan,White_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,7
3,2015,Maserati,Ghibli_S_Q4, 29957, Ocala, FL ,49244,No Accident or Damage Reported,Sedan,Blue_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,19
4,2018,Maserati,Ghibli_S_Q4, 47000, Bedford, OH ,36037,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,8
5,2017,Maserati,Quattroporte_S, 41562, Pensacola, FL ,55907,No Accident or Damage Reported,Sedan,White_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,13
6,2018,Maserati,Ghibli_S_Q4, 40992, San Antonio, TX ,53191,No Accident or Damage Reported,Sedan,Blue_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,7
7,2018,Maserati,Ghibli_S_Q4, 45988, Middletown, RI ,34325,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,13
8,2018,Maserati,Quattroporte_S_Q4_GranSport, 61295, Whippany, NJ ,23179,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,10
9,2018,Maserati,Quattroporte_S_GranLusso, 55993, Palo Alto, CA ,17780,No Accident or Damage Reported,Sedan,Blue_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,3
10,2018,Maserati,Ghibli_S_Q4_GranLusso, 45995, Little Ferry, NJ ,32214,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,6
11,2017,Maserati,Levante_S, 45995, West Park, FL ,42012,No Accident or Damage Reported,SUV,Silver_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,5
12,2020,Maserati,Levante_GranLusso, 68890, Tampa, FL ,6460,No Accident or Damage Reported,SUV,Red_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,5
13,2018,Maserati,Levante, 46821, Miami, FL ,37967,No Accident or Damage Reported,SUV,Gray_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,6
14,2018,Maserati,Ghibli_S_Q4, 44990, Buford, GA ,44041,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,7
15,2018,Maserati,Ghibli_S_Q4_GranSport, 49983, Santa Monica, CA ,27551,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,4
16,2017,Maserati,GranTurismo_MC, 79950, Fallston, MD ,10161,No Accident or Damage Reported,Coupe,White_Engine:_8_Cyl_4.7_L_,CARFAX 1-Owner,Personal Use,9
17,2018,Maserati,Ghibli_S_Q4, 47997, Woodbridge, VA ,23000,No Accident or Damage Reported,Sedan,Gray_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,4
18,2018,Maserati,GranTurismo_Sport, 84500, Whippany, NJ ,4764,No Accident or Damage Reported,Coupe,White_Engine:_8_Cyl_4.7_L_,CARFAX 1-Owner,Personal Use,4
19,2019,Maserati,Levante_GTS, 78905, Ocean, NJ ,3011,No Accident or Damage Reported,SUV,8_Cyl_3.8_L_,CARFAX 1-Owner,Personal Use,6
20,2017,Maserati,Levante_S, 47090, Jamaica, NY ,40507,No Accident or Damage Reported,SUV,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,15
