,Year,Brand,Model,Cost,City,State,Mileage,Accident,Body,Engine,Owners,Usefor,Services
0,2015,Jeep,Grand_Cherokee_Laredo, 21999, Queens Village, NY ,40037,No Accident or Damage Reported,SUV,White_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,3
1,2018,Jeep,Grand_Cherokee_Laredo_E, 28125, Little Falls, NJ ,27803,No Accident or Damage Reported,SUV,White_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,6
2,2019,Jeep,Compass_Altitude_Edition, 25995, Sussex, NJ ,20988,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.4_L_,CARFAX 1-Owner,Personal Use,11
3,2018,Jeep,Cherokee_Limited_Edition, 25810, Ocean, NJ ,28467,No Accident or Damage Reported,SUV,Gray_Engine:_6_Cyl_3.2_L_,CARFAX 1-Owner,Personal Use,6
4,2017,Jeep,Renegade_Sport, 16810, Ocean, NJ ,71320,No Accident or Damage Reported,SUV,Silver_Engine:_4_Cyl_2.4_L_,CARFAX 1-Owner,Personal Use,9
5,2018,Jeep,Wrangler_Sport_S, 34997, White Plains, NY ,27741,No Accident or Damage Reported,SUV,Silver_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,7
6,2019,Jeep,Cherokee_Limited_Edition, 25995, Cranbury, NJ ,28911,No Accident or Damage Reported,SUV,Silver_Engine:_6_Cyl_3.2_L_,CARFAX 1-Owner,Personal Use,3
7,2018,Jeep,Grand_Cherokee_Laredo_E, 29175, Flemington, NJ ,35763,No Accident or Damage Reported,SUV,Black_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,3
8,2019,Jeep,Grand_Cherokee_Limited_Edition, 31810, Ocean, NJ ,43840,No Accident or Damage Reported,SUV,Black_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,4
9,2018,Jeep,Grand_Cherokee_Limited_Edition, 33810, Ocean, NJ ,21470,No Accident or Damage Reported,SUV,Gray_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,4
10,2018,Jeep,Grand_Cherokee_Limited_Edition, 30893, Edison, NJ ,36811,No Accident or Damage Reported,SUV,Black_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,6
11,2016,Jeep,Wrangler_Sahara, 32997, White Plains, NY ,48227,No Accident or Damage Reported,SUV,White_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,8
12,2019,Jeep,Cherokee_Limited_Edition, 26605, Brooklyn, NY ,23932,No Accident or Damage Reported,SUV,Gray_Engine:_6_Cyl_3.2_L_,CARFAX 1-Owner,Personal Use,2
13,2018,Jeep,Renegade_Latitude, 19495, North Brunswick, NJ ,36414,No Accident or Damage Reported,SUV,Red_Engine:_4_Cyl_2.4_L_,CARFAX 1-Owner,Personal Use,7
