,Year,Brand,Model,Cost,City,State,Mileage,Accident,Body,Engine,Owners,Usefor,Services
0,2018,Audi,Q7_Premium_Plus, 40988, Clifton, NJ ,35820,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.0_L_,2-Owner,Multiple Use,7
1,2018,Audi,Q5_Premium_Plus, 34799, Princeton, NJ ,34622,No Accident or Damage Reported,SUV,Blue_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
2,2016,Audi,A6_Premium_Plus, 21698, Roselle, NJ ,66218,No Accident or Damage Reported,Sedan,White_Engine:_4_Cyl_2.0_L_,3+ Owners,Multiple Use,9
3,2018,Audi,A5_Premium_Plus, 34558, PARSIPPANY, NJ ,16045,No Accident or Damage Reported,Coupe,Silver_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,4
4,2018,Audi,Q5_Premium_Plus, 32989, PARSIPPANY, NJ ,40365,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,9
5,2019,Audi,SQ5_Prestige, 41625, PARSIPPANY, NJ ,76489,No Accident or Damage Reported,SUV,Gray_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,3
6,2017,Audi,Q5_Premium_Plus, 21888, Jamaica, NY ,97101,No Accident or Damage Reported,SUV,Blue_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,19
7,2018,Audi,S3_Premium_Plus, 36333, Lynbrook, NY ,23514,No Accident or Damage Reported,Sedan,Blue_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,13
8,2018,Audi,Q5_Prestige, 34694, PARSIPPANY, NJ ,40712,No Accident or Damage Reported,SUV,Blue_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,2
9,2019,Audi,S5_Premium, 47683, Flemington, NJ ,30369,No Accident or Damage Reported,Coupe,Gray_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,7
10,2018,Audi,A4_Premium, 27900, Lyndhurst, NJ ,30264,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,7
11,2015,Audi,Q3_Premium_Plus, 14995, Ramsey, NJ ,123201,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,23
12,2018,Audi,Q5_Premium_Plus, 31895, Massapequa, NY ,29172,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,11
13,2018,Audi,Q5_Premium_Plus, 35000, Paramus, NJ ,13548,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,10
14,2021,Audi,Q3_Premium_45, 37442, PARSIPPANY, NJ ,7953,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Corporate Use,2
15,2018,Audi,A5_Premium_Plus, 33988, New York, NY ,33772,No Accident or Damage Reported,Hatchback,Blue_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
16,2018,Audi,A4_Premium_Plus, 30298, Edison, NJ ,26630,No Accident or Damage Reported,Sedan,Blue_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
17,2016,Audi,A5_Premium, 23585, Bay Shore, NY ,35301,No Accident or Damage Reported,Coupe,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,9
18,2018,Audi,Q7_Premium_Plus, 40221, Great Neck, NY ,27390,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,7
19,2018,Audi,Q7_Premium_Plus, 42988, PARSIPPANY, NJ ,28937,No Accident or Damage Reported,SUV,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,5
20,2018,Audi,A3_Premium, 24777, Freehold, NJ ,21660,No Accident or Damage Reported,Sedan,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,1
21,2021,Audi,RS7, 129997, Massapequa, NY ,1738,No Accident or Damage Reported,Hatchback,White_Engine:_8_Cyl_4.0_L_,CARFAX 1-Owner,Personal Use,1
22,2019,Audi,Q7_Premium, 46736, Wayne, NJ ,24748,No Accident or Damage Reported,SUV,Blue_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,7
23,2018,Audi,Q5_Premium_Plus, 33495, New York, NY ,35804,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
24,2019,Audi,A4_Premium_Plus, 33995, New York, NY ,20205,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,3
25,2019,Audi,SQ5_Premium_Plus, 47995, Edison, NJ ,17756,No Accident or Damage Reported,SUV,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,1
26,2018,Audi,A5_Premium_Plus, 31722, Lynbrook, NY ,28343,No Accident or Damage Reported,Hatchback,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,14
27,2018,Audi,S4_Premium_Plus, 38599, Jersey City, NJ ,28189,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,5
28,2017,Audi,A3_Premium, 24500, Jersey City, NJ ,6746,No Accident or Damage Reported,Sedan,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,11
29,2013,Audi,A4_Premium_Plus, 14977, Massapequa, NY ,106235,No Accident or Damage Reported,Wagon,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,32
30,2018,Audi,A4_Premium_Plus, 31995, New York, NY ,13353,No Accident or Damage Reported,Sedan,Silver_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,8
31,2018,Audi,A3_Premium, 24252, Jamaica, NY ,23766,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,6
32,2018,Audi,A4_Premium, 27495, Little Ferry, NJ ,22799,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,8
33,2018,Audi,Q5_Premium_Plus, 38878, Englewood, NJ ,8576,No Accident or Damage Reported,SUV,Red_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
34,2018,Audi,Q5_Premium_Plus, 35995, New York, NY ,17343,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,3
35,2016,Audi,A6_Prestige, 21995, Newark, NJ ,81804,No Accident or Damage Reported,Sedan,Gray_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,26
36,2019,Audi,S5_Prestige, 53484, Flemington, NJ ,29460,No Accident or Damage Reported,Hatchback,Silver_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,7
37,2015,Audi,Q3_Premium_Plus, 19525, EATONTOWN, NJ ,84927,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,17
38,2018,Audi,Q5_Premium_Plus, 34222, Maplewood, NJ ,33952,No Accident or Damage Reported,SUV,4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,7
39,2018,Audi,Q3_Premium_Plus, 27995, Massapequa, NY ,13902,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,3
40,2017,Audi,S7_Premium_Plus, 56988, Westbury, NY ,18800,No Accident or Damage Reported,Hatchback,Black_Engine:_8_Cyl_4.0_L_,CARFAX 1-Owner,Personal Use,9
41,2018,Audi,Q3_Premium, 26195, Nanuet, NY ,31812,No Accident or Damage Reported,SUV,Green_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,11
42,2018,Audi,Q5_Premium_Plus, 32997, Freehold, NJ ,53635,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,3
43,2018,Audi,Q7_Premium_Plus, 42995, New York, NY ,40044,No Accident or Damage Reported,SUV,Gray_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,3
44,2018,Audi,A5_Premium_Plus, 33995, Bloomfield, NJ ,25471,No Accident or Damage Reported,Coupe,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,11
45,2016,Audi,A6_Premium_Plus, 17499, Ramsey, NJ ,118315,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,13
46,2019,Audi,Q5_Premium_Plus, 37994, Ramsey, NJ ,30734,No Accident or Damage Reported,SUV,4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,11
47,2018,Audi,Q5_Premium_Plus, 37900, Fairfield, CT ,19101,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,7
48,2018,Audi,Q3_Premium, 29900, Fairfield, CT ,23931,No Accident or Damage Reported,SUV,Silver_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,12
49,2018,Audi,Q3_Premium_Plus, 27395, Massapequa, NY ,30307,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,6
50,2018,Audi,A3_Premium_Plus, 26477, Freehold, NJ ,28425,No Accident or Damage Reported,Sedan,Blue_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,1
51,2018,Audi,Q5_Premium_Plus, 31000, EATONTOWN, NJ ,55955,No Accident or Damage Reported,SUV,Blue_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,14
52,2018,Audi,Q5_Premium, 31995, EATONTOWN, NJ ,35160,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
53,2018,Audi,Q5_Premium_Plus, 34995, New York, NY ,28360,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,13
54,2018,Audi,A5_Premium_Plus, 36477, Freehold, NJ ,29859,No Accident or Damage Reported,Coupe,Blue_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,3
55,2018,Audi,Q5_Premium_Plus, 34686, Secaucus, NJ ,26124,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,6
56,2018,Audi,Q7_Premium_Plus, 46268, Englewood, NJ ,22886,No Accident or Damage Reported,SUV,Gray_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,7
