,Year,Brand,Model,Cost,City,State,Mileage,Accident,Body,Engine,Owners,Usefor,Services
0,2018,Acura,TLX_A-Spec, 30495, Jersey City, NJ ,37510,No Accident or Damage Reported,Sedan,Gray_Engine:_6_Cyl_3.5_L_,2-Owner,Personal Use,15
1,2013,Acura,TL, 14995, Freeport, NY ,94321,No Accident or Damage Reported,Sedan,White_Engine:_6_Cyl_3.5_L_,2-Owner,Personal Use,10
2,2014,Acura,TL_Technology, 11999, Lakewood, NJ ,131858,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.5_L_,2-Owner,Personal Use,17
3,2018,Acura,MDX_Base, 32495, Bay Shore, NY ,36823,No Accident or Damage Reported,SUV,Black_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,6
4,2019,Acura,MDX_Technology_Entertainment, 33500, Denville, NJ ,65356,No Accident or Damage Reported,SUV,Gray_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,4
5,2020,Acura,TLX_Technology, 29995, Bay Shore, NY ,22047,No Accident or Damage Reported,Sedan,White_Engine:_4_Cyl_2.4_L_,CARFAX 1-Owner,Personal Use,7
6,2019,Acura,TLX_Technology, 28995, Bay Shore, NY ,24191,No Accident or Damage Reported,Sedan,Gray_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,8
7,2019,Acura,RDX_Base, 31995, Bay Shore, NY ,10686,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
8,2020,Acura,RDX_Technology, 39995, Bay Shore, NY ,10735,No Accident or Damage Reported,SUV,Red_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
9,2019,Acura,TLX_Base, 25995, Bay Shore, NY ,38341,No Accident or Damage Reported,Sedan,White_Engine:_4_Cyl_2.4_L_,CARFAX 1-Owner,Personal Use,5
10,2020,Acura,RDX, 43825, Bay Shore, NY ,11871,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,4
11,2021,Acura,TLX_Technology, 39765, Roslyn, NY ,677,No Accident or Damage Reported,Sedan,Red_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,3
12,2020,Acura,RDX, 38850, Larchmont, NY ,53419,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,12
13,2019,Acura,TLX_Base, 26995, Bay Shore, NY ,29639,No Accident or Damage Reported,Sedan,Red_Engine:_4_Cyl_2.4_L_,CARFAX 1-Owner,Personal Use,10
14,2020,Acura,TLX_A-Spec, 34995, Bay Shore, NY ,11132,No Accident or Damage Reported,Sedan,White_Engine:_4_Cyl_2.4_L_,CARFAX 1-Owner,Personal Use,3
15,2020,Acura,TLX_Base, 29995, Bay Shore, NY ,7436,No Accident or Damage Reported,Sedan,Blue_Engine:_4_Cyl_2.4_L_,CARFAX 1-Owner,Personal Use,5
16,2019,Acura,TLX_Base, 27495, Bay Shore, NY ,29736,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,10
17,2019,Acura,RDX_Base, 34995, Bay Shore, NY ,21335,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
18,2018,Acura,MDX_Technology, 34297, Roslyn, NY ,23522,No Accident or Damage Reported,SUV,Red_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,11
19,2019,Acura,TLX_Technology, 29500, Roslyn, NY ,18336,No Accident or Damage Reported,Sedan,Gray_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,6
20,2020,Acura,RDX_Technology, 39995, Bay Shore, NY ,9954,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,6
21,2019,Acura,TLX_Technology, 27500, Scarsdale, NY ,11339,No Accident or Damage Reported,Sedan,Gray_Engine:_4_Cyl_2.4_L_,CARFAX 1-Owner,Personal Use,6
22,2018,Acura,MDX_Base, 31936, Roslyn, NY ,20406,No Accident or Damage Reported,SUV,Silver_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,8
23,2019,Acura,RDX_Base, 33925, Bay Shore, NY ,43680,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,11
24,2019,Acura,RDX_Base, 33700, Woodside, NY ,22683,No Accident or Damage Reported,SUV,Bronze_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,8
25,2018,Acura,MDX_Base, 31474, Bedford Hills, NY ,46641,No Accident or Damage Reported,SUV,White_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,8
26,2019,Acura,TLX_Technology, 29985, Larchmont, NY ,13922,No Accident or Damage Reported,Sedan,White_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,1
27,2018,Acura,MDX_Base, 32249, Roslyn, NY ,25000,No Accident or Damage Reported,SUV,White_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,5
28,2021,Acura,ILX, 25000, Scarsdale, NY ,2920,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_2.4_L_,CARFAX 1-Owner,Personal Use,2
