,Year,Brand,Model,Cost,City,State,Mileage,Accident,Body,Engine,Owners,Usefor,Services
0,2018,Dodge,Challenger_GT, 31999, Queens Village, NY ,29828,Minor Damage,Coupe,Black_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,7
1,2012,Dodge,Challenger_SRT8_392, 37888, Bronx, NY ,3105,No Accident or Damage Reported,Coupe,Black_Engine:_8_Cyl_6.4_L_,CARFAX 1-Owner,Personal Use,5
2,2018,Dodge,Durango_SXT, 29354, Fair Lawn, NJ ,26849,No Accident or Damage Reported,SUV,Gray_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,7
3,2017,Dodge,Charger_Daytona_392, 45999, Freehold, NJ ,9418,No Accident or Damage Reported,Sedan,White_Engine:_8_Cyl_6.4_L_,CARFAX 1-Owner,Personal Use,2
4,2019,Dodge,Challenger_R/T_Scat_Pack_Widebody, 49997, White Plains, NY ,6634,No Accident or Damage Reported,Coupe,Blue_Engine:_8_Cyl_6.4_L_,CARFAX 1-Owner,Personal Use,3
5,2020,Dodge,Durango_R/T, 46500, Croton On Hudson, NY ,16239,No Accident or Damage Reported,SUV,Gray_Engine:_8_Cyl_5.7_L_,CARFAX 1-Owner,Personal Use,6
6,2018,Dodge,Charger_GT, 32988, Eatontown, NJ ,15662,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,5
7,2018,Dodge,Challenger_SRT_392, 46290, Shrewsbury, NJ ,10242,No Accident or Damage Reported,Coupe,Gray_Engine:_8_Cyl_6.4_L_,CARFAX 1-Owner,Personal Use,4
8,2018,Dodge,Durango_GT, 31995, Croton On Hudson, NY ,48295,No Accident or Damage Reported,SUV,White_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,5
9,2018,Dodge,Charger_GT, 33500, Nanuet, NY ,4269,No Accident or Damage Reported,Sedan,Gray_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,2
10,2021,Dodge,Charger_R/T_Scat_Pack, 50000, Croton On Hudson, NY ,2148,No Accident or Damage Reported,Sedan,Gray_Engine:_8_Cyl_6.4_L_,CARFAX 1-Owner,Personal Use,1
11,2018,Dodge,Durango_SXT, 30125, Brooklyn, NY ,16785,No Accident or Damage Reported,SUV,Gray_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,2
12,2021,Dodge,Charger_R/T_Scat_Pack, 52995, Edison, NJ ,667,No Accident or Damage Reported,Sedan,Black_Engine:_8_Cyl_6.4_L_,CARFAX 1-Owner,Personal Use,1
13,2018,Dodge,Charger_R/T_Scat_Pack, 42565, Farmingdale, NY ,30343,No Accident or Damage Reported,Sedan,Black_Engine:_8_Cyl_6.4_L_,CARFAX 1-Owner,Personal Use,7
