,Year,Brand,Model,Cost,City,State,Mileage,Accident,Body,Engine,Owners,Usefor,Services
0,2018,Subaru,Outback_2.5i_Limited, 26500, Englewood, NJ ,27340,Accident Reported,Wagon,Blue_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,9
1,2018,Subaru,Crosstrek_Limited, 26131, Clifton, NJ ,20804,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.0_L_,2-Owner,Personal Use,5
2,2019,Subaru,Impreza_2.0i, 19524, Fair Lawn, NJ ,28171,Minor Damage,Wagon,Blue_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,8
3,2018,Subaru,Crosstrek_Premium, 20995, Hempstead, NY ,31380,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
4,2018,Subaru,Crosstrek, 20600, Jersey City, NJ ,32272,No Accident or Damage Reported,SUV,Red_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,4
5,2019,Subaru,Outback_2.5i_Limited, 27563, Saint James, NY ,25392,No Accident or Damage Reported,Wagon,Blue_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,5
6,2019,Subaru,WRX_STI, 37990, Elmsford, NY ,4027,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,6
7,2019,Subaru,Impreza_2.0i_Premium, 21166, Wilton, CT ,19203,No Accident or Damage Reported,Wagon,Red_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,6
8,2016,Subaru,Outback_2.5i_Premium, 15988, Lakewood, NJ ,117295,No Accident or Damage Reported,Wagon,Green_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,5
9,2019,Subaru,Crosstrek_Premium, 24614, Ramsey, NJ ,44211,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
10,2018,Subaru,Forester_2.5i_Limited, 24622, Ramsey, NJ ,46185,No Accident or Damage Reported,SUV,Silver_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,6
11,2017,Subaru,Forester_2.5i, 15895, Hackettstown, NJ ,89277,No Accident or Damage Reported,SUV,Red_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,22
12,2018,Subaru,Crosstrek_Limited, 24995, Valley Stream, NY ,32712,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
13,2019,Subaru,Crosstrek_Limited, 28800, North Plainfield, NJ ,13383,No Accident or Damage Reported,SUV,Silver_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
14,2020,Subaru,Outback_Onyx_Edition_XT, 35795, Tenafly, NJ ,6165,No Accident or Damage Reported,Wagon,White_Engine:_4_Cyl_2.4_L_,CARFAX 1-Owner,Personal Use,6
15,2015,Subaru,Impreza_2.0i_Premium, 17297, Stamford, CT ,28889,No Accident or Damage Reported,Sedan,Silver_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
16,2019,Subaru,Impreza_2.0i_Premium, 19745, Flemington, NJ ,34836,No Accident or Damage Reported,Sedan,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,4
17,2017,Subaru,Forester_2.5i_Limited, 22495, Great Neck, NY ,25171,No Accident or Damage Reported,SUV,Red_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,3
18,2019,Subaru,Crosstrek_Premium, 24993, Ramsey, NJ ,31124,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,8
19,2019,Subaru,Impreza_Sport, 21370, Ramsey, NJ ,31193,No Accident or Damage Reported,Sedan,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,3
20,2018,Subaru,Outback_2.5i_Limited, 28260, Elmsford, NY ,8187,No Accident or Damage Reported,Wagon,Gray_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,4
21,2017,Subaru,Legacy_3.6_R_Limited, 22999, Freehold, NJ ,45890,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,6
22,2018,Subaru,Outback_2.5i_Limited, 27898, East Brunswick, NJ ,17124,No Accident or Damage Reported,Wagon,White_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,8
23,2019,Subaru,Ascent_Premium, 29995, Little Ferry, NJ ,34908,No Accident or Damage Reported,SUV,Red_Engine:_4_Cyl_2.4_L_,CARFAX 1-Owner,Personal Use,4
24,2019,Subaru,Ascent_Limited, 33995, Emerson, NJ ,43990,No Accident or Damage Reported,SUV,Brown_Engine:_4_Cyl_2.4_L_,CARFAX 1-Owner,Personal Use,3
25,2019,Subaru,Ascent_Touring, 38995, Valley Stream, NY ,24302,No Accident or Damage Reported,SUV,Blue_Engine:_4_Cyl_2.4_L_,CARFAX 1-Owner,Personal Use,4
26,2017,Subaru,Outback_2.5i_Limited, 21993, Rye, NY ,75518,No Accident or Damage Reported,Wagon,Blue_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,12
27,2013,Subaru,XV_Crosstrek_Limited, 17500, Wilton, CT ,43916,No Accident or Damage Reported,SUV,Blue_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,9
28,2019,Subaru,Impreza_2.0i_Premium, 20500, Norwalk, CT ,44499,No Accident or Damage Reported,Wagon,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
29,2018,Subaru,Crosstrek_Premium, 23991, Smithtown, NY ,18846,No Accident or Damage Reported,SUV,4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,8
30,2018,Subaru,Outback_2.5i_Limited, 27900, Elmsford, NY ,23996,No Accident or Damage Reported,Wagon,Gray_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,13
31,2021,Subaru,Crosstrek_Limited, 30716, Ramsey, NJ ,6949,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,3
32,2018,Subaru,Forester_2.5i_Limited, 25897, North Plainfield, NJ ,22158,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,4
33,2019,Subaru,Impreza_2.0i_Premium, 19986, Orangeburg, NY ,37944,No Accident or Damage Reported,Sedan,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,7
34,2019,Subaru,Impreza_Sport, 21733, Saint James, NY ,16849,No Accident or Damage Reported,Sedan,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,9
35,2018,Subaru,WRX, 22995, Lindenhurst, NY ,56290,No Accident or Damage Reported,Sedan,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,13
36,2019,Subaru,Crosstrek_Premium, 23488, Lakewood, NJ ,31168,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,7
37,2015,Subaru,XV_Crosstrek_Premium, 16900, Bronx, NY ,61000,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,1
38,2020,Subaru,Legacy_Touring_XT, 31764, Tinton Falls, NJ ,15671,No Accident or Damage Reported,Sedan,Gray_Engine:_4_Cyl_2.4_L_,CARFAX 1-Owner,Personal Use,5
39,2019,Subaru,Forester_Premium, 25490, Tinton Falls, NJ ,44939,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,2
40,2018,Subaru,Crosstrek_Premium, 25290, Tinton Falls, NJ ,9318,No Accident or Damage Reported,SUV,Silver_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,7
41,2020,Subaru,Outback_Premium, 28188, Lakewood, NJ ,21980,No Accident or Damage Reported,Wagon,White_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,9
42,2019,Subaru,Crosstrek_Limited, 25990, Hasbrouck Heights, NJ ,31898,No Accident or Damage Reported,SUV,Silver_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,12
43,2018,Subaru,Outback_2.5i_Premium, 22200, Bloomfield, NJ ,37425,No Accident or Damage Reported,Wagon,Blue_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,11
44,2018,Subaru,Outback_2.5i_Limited, 24198, Stamford, CT ,75690,No Accident or Damage Reported,Wagon,Blue_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,7
45,2019,Subaru,Forester_Touring, 32990, Tinton Falls, NJ ,13809,No Accident or Damage Reported,SUV,Red_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,8
46,2018,Subaru,Crosstrek_Limited, 27454, Stamford, CT ,16794,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,9
47,2020,Subaru,Outback_Onyx_Edition_XT, 33491, New York, NY ,13427,Accident Reported,Wagon,Silver_Engine:_4_Cyl_2.4_L_,CARFAX 1-Owner,Personal Use,3
48,2019,Subaru,Forester_Sport, 27695, Pompton Plains, NJ ,37744,Accident Reported,SUV,Blue_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,5
49,2020,Subaru,Crosstrek_Premium, 26795, Pt Pleasant, NJ ,26165,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,6
50,2017,Subaru,Legacy_2.5i_Limited, 18345, Stamford, CT ,84811,No Accident or Damage Reported,Sedan,White_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,18
51,2019,Subaru,Crosstrek_Limited, 26986, Orangeburg, NY ,32172,No Accident or Damage Reported,SUV,Silver_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,4
52,2019,Subaru,Crosstrek_Limited, 25986, Orangeburg, NY ,43843,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,11
53,2016,Subaru,Forester_2.5i_Limited, 15486, Orangeburg, NY ,105012,No Accident or Damage Reported,SUV,Blue_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,19
54,2019,Subaru,WRX_Base, 27986, Orangeburg, NY ,27990,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
55,2019,Subaru,Crosstrek_Limited, 27799, Old Bridge, NJ ,26826,No Accident or Damage Reported,SUV,Blue_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,2
56,2019,Subaru,Ascent_Limited, 34356, Orangeburg, NY ,36336,No Accident or Damage Reported,SUV,Silver_Engine:_4_Cyl_2.4_L_,CARFAX 1-Owner,Personal Use,11
57,2018,Subaru,Impreza_2.0i, 15790, Brooklyn, NY ,42210,Accident/Minor Damage,Sedan,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,3
58,2018,Subaru,Outback_3.6R_Limited, 28900, Freehold, NJ ,40102,No Accident or Damage Reported,Wagon,Blue_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,4
59,2019,Subaru,Crosstrek_Premium, 25900, Freehold, NJ ,16926,No Accident or Damage Reported,SUV,Red_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,2
60,2019,Subaru,Outback_2.5i_Premium, 25900, Freehold, NJ ,43548,No Accident or Damage Reported,Wagon,Silver_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,2
61,2019,Subaru,Forester_Limited, 30000, Norwalk, CT ,17921,No Accident or Damage Reported,SUV,Silver_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,7
62,2019,Subaru,Legacy_2.5i_Premium, 22988, Lakewood, NJ ,21828,No Accident or Damage Reported,Sedan,Gray_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,6
63,2019,Subaru,Outback_3.6R_Limited, 30988, Lakewood, NJ ,24936,No Accident or Damage Reported,Wagon,Gray_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,7
64,2018,Subaru,Forester_2.5i_Premium, 24500, Freehold, NJ ,22286,No Accident or Damage Reported,SUV,Silver_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,1
65,2020,Subaru,Impreza, 21688, Lakewood, NJ ,2534,No Accident or Damage Reported,Sedan,Silver_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,4
66,2019,Subaru,Forester_Sport, 29688, Lakewood, NJ ,21721,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,7
