,Year,Brand,Model,Cost,City,State,Mileage,Accident,Body,Engine,Owners,Usefor,Services
0,2019,Mercedes-Benz,GLC_300, 37900, Garwood, NJ ,30615,No Accident or Damage Reported,SUV,Silver_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,6
1,2019,Mercedes-Benz,S-Class_S_450, 65975, Manasquan, NJ ,45940,No Accident or Damage Reported,Sedan,White_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,8
2,2018,Mercedes-Benz,GLE_350, 43998, Little Silver, NJ ,22028,No Accident or Damage Reported,SUV,White_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,7
3,2017,Mercedes-Benz,S-Class_S_550, 59900, East Hanover, NJ ,22250,No Accident or Damage Reported,Sedan,Black_Engine:_8_Cyl_4.7_L_,CARFAX 1-Owner,Personal Use,8
4,2018,Mercedes-Benz,GLC_300, 29980, Richmond Hill, NY ,52688,No Accident or Damage Reported,SUV,Blue_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,9
5,2018,Mercedes-Benz,GLC_300, 36900, Roslyn, NY ,22740,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,8
6,2018,Mercedes-Benz,C-Class_C_300, 29995, Greenvale, NY ,38901,No Accident or Damage Reported,Sedan,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,11
7,2019,Mercedes-Benz,GLC_300, 38589, Bridgewater, NJ ,21620,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
8,2018,Mercedes-Benz,C-Class_C_300, 34900, Roslyn, NY ,4435,No Accident or Damage Reported,Sedan,Silver_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,6
9,2018,Mercedes-Benz,GLC_300, 34900, Roslyn, NY ,35239,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,6
10,2019,Mercedes-Benz,GLC_350_Plug-In_Hybrid, 42983, Bridgewater, NJ ,7997,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,4
11,2017,Mercedes-Benz,E-Class_E_400_Luxury, 48179, Madison, NJ ,26076,No Accident or Damage Reported,Wagon,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,6
12,2018,Mercedes-Benz,E-Class_AMG_E_43, 57695, Great Neck, NY ,23170,No Accident or Damage Reported,Sedan,Gray_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,8
13,2017,Mercedes-Benz,E-Class_E_300_Luxury, 31995, Greenvale, NY ,46410,No Accident or Damage Reported,Sedan,Silver_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,13
