,Year,Brand,Model,Cost,City,State,Mileage,Accident,Body,Engine,Owners,Usefor,Services
0,2020,Chevrolet,Silverado_1500_RST, 38980, Whitman, MA ,21265,No Accident or Damage Reported,Pickup,Black_Engine:_4_Cyl_2.7_L_,CARFAX 1-Owner,Personal Use,2
1,2019,Chevrolet,Camaro_SS_2SS, 45990, Easley, SC ,13541,No Accident or Damage Reported,Coupe,Blue_Engine:_8_Cyl_6.2_L_,CARFAX 1-Owner,Personal Use,6
2,2019,Chevrolet,Traverse_LT_LT3, 33995, Marlette, MI ,35000,No Accident or Damage Reported,SUV,White_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,4
3,2018,Chevrolet,Silverado_1500_LT_Z71, 34000, Southaven, MS ,120036,No Accident or Damage Reported,Pickup,Red_Engine:_8_Cyl_5.3_L_,CARFAX 1-Owner,Personal Use,18
4,2018,Chevrolet,Malibu_LT_LT1, 19980, Johnstown, PA ,42517,No Accident or Damage Reported,Sedan,4_Cyl_1.5_L_,CARFAX 1-Owner,Personal Use,12
5,2019,Chevrolet,Corvette_Z06_LZ3, 92000, Porterville, CA ,1793,No Accident or Damage Reported,Coupe,Blue_Engine:_8_Cyl_6.2_L_,CARFAX 1-Owner,Personal Use,2
6,2018,Chevrolet,Equinox_LT_LT1, 22495, Fogelsville, PA ,39340,No Accident or Damage Reported,SUV,Silver_Engine:_4_Cyl_1.5_L_,CARFAX 1-Owner,Personal Use,14
7,2019,Chevrolet,Colorado_ZR2, 42749, Wilkesboro, NC ,14414,No Accident or Damage Reported,Pickup,Black_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,9
8,2019,Chevrolet,Silverado_1500_LTZ, 48945, San Luis Obispo, CA ,53421,No Accident or Damage Reported,Pickup,Brown_Engine:_8_Cyl_5.3_L_,CARFAX 1-Owner,Personal Use,7
9,2017,Chevrolet,Camaro_LT_2LT, 28000, Rocklin, CA ,51321,No Accident or Damage Reported,Coupe,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,15
10,2019,Chevrolet,Equinox_Premier_2LZ, 25995, Waynesburg, PA ,52564,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,11
11,2019,Chevrolet,Equinox_LT_LT1, 23995, Troy, OH ,8171,No Accident or Damage Reported,SUV,Blue_Engine:_4_Cyl_1.5_L_,CARFAX 1-Owner,Personal Use,2
12,2020,Chevrolet,Equinox_LS_1LS, 21975, Joplin, MO ,37193,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_1.5_L_,CARFAX 1-Owner,Personal Use,5
13,2017,Chevrolet,Traverse_LT_LT2, 20995, Marlette, MI ,100000,No Accident or Damage Reported,SUV,Blue_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,23
14,2018,Chevrolet,Silverado_1500_Work_Truck, 29669, Gainesville, GA ,62554,No Accident or Damage Reported,Pickup,White_Engine:_8_Cyl_5.3_L_,CARFAX 1-Owner,Personal Use,6
15,2018,Chevrolet,Malibu_LT_LT1, 18767, Chattanooga, TN ,43711,No Accident or Damage Reported,Sedan,Red_Engine:_4_Cyl_1.5_L_,CARFAX 1-Owner,Personal Use,8
16,2016,Chevrolet,Equinox_LT, 14250, Minster, OH ,102045,No Accident or Damage Reported,SUV,Blue_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,24
17,2017,Chevrolet,Silverado_1500_LT_LT1, 29995, Ayden, NC ,53144,No Accident or Damage Reported,Pickup,White_Engine:_8_Cyl_5.3_L_,CARFAX 1-Owner,Personal Use,9
18,2019,Chevrolet,Silverado_1500_LT, 36388, New Haven, IN ,30171,No Accident or Damage Reported,Pickup,Gray_Engine:_8_Cyl_5.3_L_,CARFAX 1-Owner,Personal Use,5
19,2019,Chevrolet,Trax_LT, 18995, Lake Bluff, IL ,27367,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_1.4_L_,CARFAX 1-Owner,Personal Use,12
20,2019,Chevrolet,Trax_LT, 19684, Lake Bluff, IL ,18394,No Accident or Damage Reported,SUV,Silver_Engine:_4_Cyl_1.4_L_,CARFAX 1-Owner,Personal Use,7
21,2018,Chevrolet,Malibu_LS_LS1, 18977, Wentzville, MO ,43217,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_1.5_L_,CARFAX 1-Owner,Personal Use,7
22,2018,Chevrolet,Trax_LS, 16000, Joliet, IL ,40064,No Accident or Damage Reported,SUV,Silver_Engine:_4_Cyl_1.4_L_,CARFAX 1-Owner,Personal Use,3
23,2019,Chevrolet,Malibu_RS, 21000, Rockingham, NC ,45535,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_1.5_L_,CARFAX 1-Owner,Personal Use,12
24,2019,Chevrolet,Camaro_LT_1LT, 27320, Indianapolis, IN ,19868,No Accident or Damage Reported,Coupe,Red_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,6
