,Year,Brand,Model,Cost,City,State,Mileage,Accident,Body,Engine,Owners,Usefor,Services
0,2019,Nissan,Sentra_SV, 17995, Springfield, NJ ,21615,No Accident or Damage Reported,Sedan,Silver_Engine:_4_Cyl_1.8_L_,CARFAX 1-Owner,Personal Use,4
1,2018,Nissan,Rogue_SV, 21499, Queens Village, NY ,36939,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,2
2,2018,Nissan,Murano_Platinum, 30888, Bronx, NY ,17272,No Accident or Damage Reported,SUV,White_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,2
3,2018,Nissan,Sentra_SR, 16999, Fairfield, CT ,44458,No Accident or Damage Reported,Sedan,Gray_Engine:_4_Cyl_1.8_L_,CARFAX 1-Owner,Personal Use,11
4,2018,Nissan,Rogue_SV, 21695, Huntington Station, NY ,19383,No Accident or Damage Reported,SUV,Red_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,3
5,2019,Nissan,Maxima_S, 26995, Keyport, NJ ,23417,No Accident or Damage Reported,Sedan,White_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,3
6,2018,Nissan,Murano_S, 20938, Flemington, NJ ,51330,No Accident or Damage Reported,SUV,Black_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,9
7,2018,Nissan,Rogue_SV, 20995, Freehold, NJ ,34774,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,3
8,2018,Nissan,Rogue_Sport_SL, 22495, Greenvale, NY ,19728,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,7
9,2019,Nissan,Altima_Edition_ONE, 22995, Saint James, NY ,39863,No Accident or Damage Reported,Sedan,Red_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,6
10,2019,Nissan,Sentra_SV, 16893, Huntington Station, NY ,15168,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_1.8_L_,CARFAX 1-Owner,Personal Use,5
11,2018,Nissan,Altima_S, 17995, Yonkers, NY ,28230,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,4
12,2018,Nissan,Sentra_SR, 18142, Staten Island, NY ,9007,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_1.8_L_,CARFAX 1-Owner,Personal Use,6
13,2018,Nissan,Altima_S, 14995, Hackensack, NJ ,65778,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,17
14,2019,Nissan,Sentra_SR, 16495, Yonkers, NY ,10192,No Accident or Damage Reported,Sedan,Red_Engine:_4_Cyl_1.8_L_,CARFAX 1-Owner,Personal Use,8
15,2018,Nissan,Rogue_SL, 21495, Yonkers, NY ,43611,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,10
16,2018,Nissan,Sentra_SR, 16653, Staten Island, NY ,35172,No Accident or Damage Reported,Sedan,Gray_Engine:_4_Cyl_1.8_L_,CARFAX 1-Owner,Personal Use,5
17,2018,Nissan,Sentra_SL, 17547, Saint James, NY ,28588,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_1.8_L_,CARFAX 1-Owner,Personal Use,4
18,2019,Nissan,Rogue_SL, 26888, Sussex, NJ ,15333,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,5
19,2018,Nissan,Rogue_SV, 20995, Freehold, NJ ,31334,No Accident or Damage Reported,SUV,Red_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,4
20,2019,Nissan,Altima_SV, 21995, Flemington, NJ ,56933,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,1
21,2018,Nissan,Rogue_SV, 20788, Upper Saddle River, NJ ,33067,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,12
22,2018,Nissan,Pathfinder_S, 22814, Clifton, NJ ,37768,No Accident or Damage Reported,SUV,Black_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,2
23,2018,Nissan,Sentra_SL, 17011, Huntington Station, NY ,35053,No Accident or Damage Reported,Sedan,Gray_Engine:_4_Cyl_1.8_L_,CARFAX 1-Owner,Personal Use,11
24,2018,Nissan,Maxima_SL, 25900, Ozone Park, NY ,20974,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,7
25,2019,Nissan,Rogue_SV, 22995, Fairfield, CT ,28250,No Accident or Damage Reported,SUV,Silver_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,9
26,2016,Nissan,Murano_SV, 19995, Woodbridge, NJ ,54267,No Accident or Damage Reported,SUV,Orange_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,12
27,2018,Nissan,Rogue_SV, 21995, Fairfield, CT ,34395,No Accident or Damage Reported,SUV,Blue_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,11
28,2018,Nissan,Rogue_S, 19995, Freehold, NJ ,30944,No Accident or Damage Reported,SUV,Silver_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,2
29,2018,Nissan,Sentra_SR, 15500, Ozone Park, NY ,36051,No Accident or Damage Reported,Sedan,Gray_Engine:_4_Cyl_1.8_L_,CARFAX 1-Owner,Personal Use,2
30,2018,Nissan,Rogue_SV, 20500, Ozone Park, NY ,25455,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,2
31,2019,Nissan,Rogue_Sport_S, 19998, Upper Saddle River, NJ ,17429,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,9
