,Year,Brand,Model,Cost,City,State,Mileage,Accident,Body,Engine,Owners,Usefor,Services
0,2019,Volkswagen,Jetta_SE, 20199, Elk Grove, CA ,25009,No Accident or Damage Reported,Sedan,Gray_Engine:_4_Cyl_1.4_L_,CARFAX 1-Owner,Personal Use,4
1,2017,Volkswagen,Jetta_S, 15262, Bradenton, FL ,13347,No Accident or Damage Reported,Sedan,Blue_Engine:_4_Cyl_1.4_L_,CARFAX 1-Owner,Personal Use,4
2,2017,Volkswagen,Passat_SE, 18705, El Paso, TX ,50529,No Accident or Damage Reported,Sedan,Gray_Engine:_4_Cyl_1.8_L_,CARFAX 1-Owner,Personal Use,10
3,2018,Volkswagen,GTI_SE, 25998, Fall River, MA ,41319,No Accident or Damage Reported,Hatchback,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
4,2018,Volkswagen,Passat_SEL_Premium, 18995, Mohegan Lake, NY ,57351,No Accident or Damage Reported,Sedan,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,14
5,2018,Volkswagen,Atlas_SEL, 29601, Fairfax, VA ,67818,No Accident or Damage Reported,SUV,Blue_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,16
6,2017,Volkswagen,Tiguan, 18995, Salem, NH ,53295,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,7
7,2018,Volkswagen,Atlas_SEL_Premium, 39400, Cincinnati, OH ,38892,No Accident or Damage Reported,SUV,Blue_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,13
8,2018,Volkswagen,Jetta_SE, 17500, Hackettstown, NJ ,32548,No Accident or Damage Reported,Sedan,White_Engine:_4_Cyl_1.4_L_,CARFAX 1-Owner,Personal Use,8
9,2019,Volkswagen,Jetta_SEL, 21499, Youngstown, OH ,29626,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_1.4_L_,CARFAX 1-Owner,Personal Use,8
10,2019,Volkswagen,Arteon_SEL, 31500, Rocklin, CA ,7524,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,1
11,2018,Volkswagen,Passat_S, 17750, Huntington Station, NY ,18659,No Accident or Damage Reported,Sedan,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,6
12,2021,Volkswagen,Atlas_SE_w/Technology_R-Line, 42975, Melbourne, FL ,4759,No Accident or Damage Reported,SUV,White_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,1
13,2020,Volkswagen,Jetta_S, 19700, Saint Charles, IL ,9351,No Accident or Damage Reported,Sedan,Blue_Engine:_4_Cyl_1.4_L_,CARFAX 1-Owner,Personal Use,7
14,2018,Volkswagen,Tiguan_SEL, 26980, Hollidaysburg, PA ,41510,No Accident or Damage Reported,SUV,Green_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,3
15,2018,Volkswagen,Jetta_SE, 15800, Escanaba, MI ,41339,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_1.4_L_,CARFAX 1-Owner,Personal Use,7
16,2019,Volkswagen,Jetta_SE, 21337, Riverhead, NY ,9702,No Accident or Damage Reported,Sedan,Gray_Engine:_4_Cyl_1.4_L_,CARFAX 1-Owner,Personal Use,5
17,2020,Volkswagen,Atlas_SEL_R-Line, 43888, Cincinnati, OH ,17458,No Accident or Damage Reported,SUV,Blue_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,4
18,2019,Volkswagen,Arteon_SEL_Premium_R-Line, 35999, Youngstown, OH ,7750,No Accident or Damage Reported,Sedan,Silver_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
19,2019,Volkswagen,Jetta_SEL, 20750, Schaumburg, IL ,41842,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_1.4_L_,CARFAX 1-Owner,Personal Use,5
20,2019,Volkswagen,Tiguan_SE, 26343, Minneapolis, MN ,21842,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,7
21,2021,Volkswagen,Atlas_SEL, 43480, Franklin, WI ,14704,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,6
22,2020,Volkswagen,Passat_R-Line, 26595, Santa Fe, NM ,14125,No Accident or Damage Reported,Sedan,Blue_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,6
23,2019,Volkswagen,Arteon_SEL, 28790, Cape May Court House, NJ ,30731,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,8
24,2017,Volkswagen,Tiguan_S, 17874, Springfield, VA ,65860,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,7
25,2018,Volkswagen,Tiguan_S, 19899, West Islip, NY ,31088,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,8
26,2017,Volkswagen,Jetta_GLI, 18900, White Plains, NY ,47732,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,3
27,2018,Volkswagen,Passat_SE, 17995, Jamaica, NY ,39164,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,8
28,2020,Volkswagen,Arteon_SEL, 30950, Neptune, NJ ,11432,No Accident or Damage Reported,Sedan,Silver_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
29,2020,Volkswagen,Passat_SE, 23900, Neptune, NJ ,3004,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,2
30,2019,Volkswagen,Jetta_R-Line, 21849, Denville, NJ ,7853,No Accident or Damage Reported,Sedan,Gray_Engine:_4_Cyl_1.4_L_,CARFAX 1-Owner,Personal Use,2
31,2019,Volkswagen,Jetta_SEL_Premium, 22800, Nanuet, NY ,23260,No Accident or Damage Reported,Sedan,White_Engine:_4_Cyl_1.4_L_,CARFAX 1-Owner,Personal Use,6
32,2019,Volkswagen,Atlas_SE_w/Technology, 34800, Nanuet, NY ,30843,No Accident or Damage Reported,SUV,White_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,4
33,2017,Volkswagen,Golf_SEL, 17525, Huntington Station, NY ,79141,No Accident or Damage Reported,Wagon,Black_Engine:_4_Cyl_1.8_L_,CARFAX 1-Owner,Personal Use,19
34,2019,Volkswagen,Jetta_R-Line, 19995, Lyndhurst, NJ ,19768,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_1.4_L_,CARFAX 1-Owner,Personal Use,5
35,2016,Volkswagen,Golf_S, 13995, Edison, NJ ,56880,No Accident or Damage Reported,Hatchback,Silver_Engine:_4_Cyl_1.8_L_,CARFAX 1-Owner,Personal Use,4
36,2021,Volkswagen,Passat_R-Line, 26500, Neptune, NJ ,4478,No Accident or Damage Reported,Sedan,Blue_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,1
37,2019,Volkswagen,Jetta_S, 15988, West Islip, NY ,36316,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_1.4_L_,CARFAX 1-Owner,Personal Use,5
38,2018,Volkswagen,Passat_R-Line, 17500, Fair Lawn, NJ ,21000,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,4
39,2016,Volkswagen,Jetta_SEL, 15995, Darien, CT ,53755,No Accident or Damage Reported,Sedan,White_Engine:_4_Cyl_1.8_L_,CARFAX 1-Owner,Personal Use,11
40,2017,Volkswagen,Golf, 18788, Lakewood, NJ ,82771,No Accident or Damage Reported,Wagon,Gray_Engine:_4_Cyl_1.8_L_,CARFAX 1-Owner,Personal Use,10
41,2016,Volkswagen,Jetta_GLI_SEL, 19000, White Plains, NY ,26065,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,2
42,2019,Volkswagen,Tiguan_S, 23288, Bronx, NY ,24085,No Accident or Damage Reported,SUV,Silver_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,6
43,2021,Volkswagen,Passat_R-Line, 26750, Neptune, NJ ,4882,No Accident or Damage Reported,Sedan,Blue_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,2
44,2018,Volkswagen,Passat_SEL_Premium, 17500, Neptune, NJ ,79816,No Accident or Damage Reported,Sedan,Silver_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,12
45,2019,Volkswagen,Tiguan_SE, 25000, Neptune, NJ ,28467,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,6
46,2019,Volkswagen,Jetta_S, 16998, West Islip, NY ,22936,No Accident or Damage Reported,Sedan,White_Engine:_4_Cyl_1.4_L_,CARFAX 1-Owner,Personal Use,5
47,2019,Volkswagen,Tiguan_SE, 26000, Fair Lawn, NJ ,20424,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
48,2018,Volkswagen,Golf_SE, 21494, Trenton, NJ ,68724,Damage Reported,Wagon,Blue_Engine:_4_Cyl_1.8_L_,CARFAX 1-Owner,Personal Use,4
49,2018,Volkswagen,Atlas_SEL, 31000, Jersey City, NJ ,37336,No Accident or Damage Reported,SUV,Gray_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,6
50,2017,Volkswagen,Passat_SE_w/Technology, 13950, Neptune, NJ ,85894,No Accident or Damage Reported,Sedan,Blue_Engine:_4_Cyl_1.8_L_,CARFAX 1-Owner,Personal Use,15
51,2018,Volkswagen,Tiguan_SEL, 18995, Jamaica, NY ,40639,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,18
52,2018,Volkswagen,Tiguan_SEL_Premium, 29900, Nanuet, NY ,19743,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
53,2019,Volkswagen,Jetta_SEL, 22495, Mohegan Lake, NY ,24535,No Accident or Damage Reported,Sedan,Red_Engine:_4_Cyl_1.4_L_,CARFAX 1-Owner,Personal Use,8
54,2019,Volkswagen,Jetta_GLI_S, 23750, EATONTOWN, NJ ,9970,No Accident or Damage Reported,Sedan,Red_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
55,2018,Volkswagen,Atlas_SEL_Premium, 37995, Massapequa, NY ,19012,No Accident or Damage Reported,SUV,White_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,8
56,2017,Volkswagen,Passat_SE, 12500, Neptune, NJ ,108335,No Accident or Damage Reported,Sedan,Gray_Engine:_4_Cyl_1.8_L_,CARFAX 1-Owner,Personal Use,16
57,2021,Volkswagen,Passat_S, 23700, Neptune, NJ ,1191,No Accident or Damage Reported,Sedan,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,1
58,2020,Volkswagen,Tiguan_SE, 27950, Neptune, NJ ,14052,No Accident or Damage Reported,SUV,Blue_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
59,2019,Volkswagen,Tiguan_SE, 24890, West Islip, NY ,22924,No Accident or Damage Reported,SUV,Blue_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,4
