,Year,Brand,Model,Cost,City,State,Mileage,Accident,Body,Engine,Owners,Usefor,Services
0,2018,BMW,X4_xDrive28i, 38954, Brooklyn, NY ,29065,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
1,2020,BMW,2_Series_228i_xDrive_Gran_Coupe, 39995, Garwood, NJ ,4586,No Accident or Damage Reported,Sedan,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Commercial Use,5
2,2018,BMW,X2_xDrive28i, 28000, Englewood, NJ ,33989,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,15
3,2018,BMW,3_Series_340i_xDrive, 36995, Greenvale, NY ,41895,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,7
4,2018,BMW,X2_xDrive28i, 28880, Mamaroneck, NY ,27174,No Accident or Damage Reported,SUV,Silver_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
5,2018,BMW,5_Series_540i_xDrive, 43845, Darien, CT ,25924,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,12
6,2018,BMW,4_Series_440i_xDrive, 39195, Darien, CT ,28761,No Accident or Damage Reported,Coupe,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,6
7,2018,BMW,M5_Base, 82997, Tenafly, NJ ,24055,No Accident or Damage Reported,Sedan,Gray_Engine:_8_Cyl_4.4_L_,CARFAX 1-Owner,Personal Use,15
8,2018,BMW,X3_M40i, 45986, Greenwich, CT ,27433,No Accident or Damage Reported,SUV,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,7
9,2018,BMW,5_Series_530i_xDrive, 39645, Darien, CT ,26154,No Accident or Damage Reported,Sedan,Blue_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,12
10,2018,BMW,X2_xDrive28i, 31795, Darien, CT ,22875,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,6
