,Year,Brand,Model,Cost,City,State,Mileage,Accident,Body,Engine,Owners,Usefor,Services
0,2020,Ram,1500_Big_Horn/Lone_Star, 43995, Garwood, NJ ,11780,No Accident or Damage Reported,Pickup,White_Engine:_8_Cyl_5.7_L_,CARFAX 1-Owner,Personal Use,10
1,2018,Ram,1500_SLT_Big_Horn, 37995, Jersey City, NJ ,33240,No Accident or Damage Reported,Pickup,Gray_Engine:_8_Cyl_5.7_L_,CARFAX 1-Owner,Personal Use,8
2,2020,Ram,1500_SLT, 34888, Long Island City, NY ,18773,Accident/Minor Damage,Pickup,White_Engine:_8_Cyl_5.7_L_,CARFAX 1-Owner,Rental Use,1
3,2020,Ram,1500_Big_Horn/Lone_Star, 39777, Mahwah, NJ ,10721,No Accident or Damage Reported,Pickup,White_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,3
4,2019,Ram,1500_Big_Horn/Lone_Star, 34795, Rahway, NJ ,24059,No Accident or Damage Reported,Pickup,Silver_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,3
5,2018,Ram,1500_ST_Express, 29995, Edison, NJ ,31772,No Accident or Damage Reported,Pickup,Black_Engine:_8_Cyl_5.7_L_,CARFAX 1-Owner,Personal Use,2
6,2018,Ram,1500_SLT_Big_Horn, 29995, Edison, NJ ,40290,No Accident or Damage Reported,Pickup,Gray_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,5
7,2019,Ram,1500_Tradesman_Express, 30810, Ocean, NJ ,26403,No Accident or Damage Reported,Pickup,Silver_Engine:_6_Cyl_3.6_L_,CARFAX 1-Owner,Personal Use,7
8,2019,Ram,1500_Tradesman, 33810, Ocean, NJ ,21246,No Accident or Damage Reported,Pickup,Black_Engine:_8_Cyl_5.7_L_,CARFAX 1-Owner,Personal Use,7
9,2019,Ram,1500_Big_Horn/Lone_Star, 39810, Ocean, NJ ,18985,No Accident or Damage Reported,Pickup,White_Engine:_8_Cyl_5.7_L_,CARFAX 1-Owner,Personal Use,8
10,2019,Ram,1500_Big_Horn/Lone_Star, 41995, Hackensack, NJ ,17264,No Accident or Damage Reported,Pickup,8_Cyl_5.7_L_,CARFAX 1-Owner,Personal Use,7
11,2018,Ram,1500_ST_Express, 34553, Butler, NJ ,27352,No Accident or Damage Reported,Pickup,Gray_Engine:_8_Cyl_5.7_L_,CARFAX 1-Owner,Personal Use,3
12,2018,Ram,2500_Power_Wagon, 53990, Flemington, NJ ,34943,No Accident or Damage Reported,Pickup,Red_Engine:_8_Cyl_6.4_L_,CARFAX 1-Owner,Personal Use,2
