,Year,Brand,Model,Cost,City,State,Mileage,Accident,Body,Engine,Owners,Usefor,Services
0,2020,Honda,HR-V_EX, 26498, Annandale, NJ ,13482,No Accident or Damage Reported,SUV,Silver_Engine:_4_Cyl_1.8_L_,CARFAX 1-Owner,Corporate Use,4
1,2019,Honda,Civic_Sport, 22500, Newton, NJ ,30054,No Accident or Damage Reported,Sedan,Blue_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,8
2,2016,Honda,HR-V_EX, 15595, Union, NJ ,102882,Minor Damage,SUV,Black_Engine:_4_Cyl_1.8_L_,2-Owner,Personal Use,27
3,2018,Honda,Civic_EX-T, 21595, North Plainfield, NJ ,3999,No Accident or Damage Reported,Coupe,Black_Engine:_4_Cyl_1.5_L_,CARFAX 1-Owner,Personal Use,2
4,2020,Honda,Odyssey_EX_L, 37998, North Plainfield, NJ ,31427,No Accident or Damage Reported,Minivan,Gray_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,6
5,2018,Honda,Accord_Touring, 26990, Denville, NJ ,39686,No Accident or Damage Reported,Sedan,Red_Engine:_4_Cyl_1.5_L_,CARFAX 1-Owner,Personal Use,5
6,2018,Honda,Pilot_EX, 23995, Cranbury, NJ ,90168,No Accident or Damage Reported,SUV,Gray_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,9
7,2018,Honda,Civic_Si, 24590, Denville, NJ ,33729,No Accident or Damage Reported,Coupe,Black_Engine:_4_Cyl_1.5_L_,CARFAX 1-Owner,Personal Use,3
8,2018,Honda,Pilot_EXL, 28970, Flemington, NJ ,50378,No Accident or Damage Reported,SUV,White_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,8
9,2018,Honda,Accord_EXL, 23888, Linden, NJ ,51537,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,14
10,2018,Honda,Accord_EXL, 23357, Lynbrook, NY ,27568,No Accident or Damage Reported,Sedan,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,11
11,2018,Honda,Accord_EX, 23985, Yonkers, NY ,16377,No Accident or Damage Reported,Sedan,White_Engine:_4_Cyl_1.5_L_,CARFAX 1-Owner,Personal Use,1
12,2019,Honda,Fit_LX, 17320, Denville, NJ ,32218,No Accident or Damage Reported,Hatchback,Gray_Engine:_4_Cyl_1.5_L_,CARFAX 1-Owner,Personal Use,23
13,2019,Honda,Civic_LX, 20590, Denville, NJ ,38486,No Accident or Damage Reported,Sedan,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,10
14,2018,Honda,CR-V_EX, 25687, Bedford Hills, NY ,35734,No Accident or Damage Reported,SUV,Red_Engine:_4_Cyl_1.5_L_,CARFAX 1-Owner,Personal Use,6
15,2021,Honda,Accord_Sport, 26995, New York, NY ,23015,No Accident or Damage Reported,Sedan,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,4
16,2019,Honda,Pilot_EXL, 33900, Bronx, NY ,16313,No Accident or Damage Reported,SUV,Blue_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,3
17,2018,Honda,CR-V_EXL, 25423, West Caldwell, NJ ,44222,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_1.5_L_,CARFAX 1-Owner,Personal Use,11
18,2019,Honda,Accord_LX, 23388, Wharton, NJ ,16161,No Accident or Damage Reported,Sedan,Red_Engine:_4_Cyl_1.5_L_,CARFAX 1-Owner,Personal Use,3
19,2020,Honda,Accord_Sport, 26600, Bronx, NY ,17478,No Accident or Damage Reported,Sedan,White_Engine:_4_Cyl_1.5_L_,CARFAX 1-Owner,Personal Use,1
20,2020,Honda,CR-V_EXL, 29799, Lakewood, NJ ,33385,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_1.5_L_,CARFAX 1-Owner,Personal Use,8
21,2019,Honda,Odyssey_EX_L, 32859, Denville, NJ ,35132,No Accident or Damage Reported,Minivan,Gray_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,10
22,2017,Honda,CR-V_Touring, 26795, Hackettstown, NJ ,55937,No Accident or Damage Reported,SUV,Red_Engine:_4_Cyl_1.5_L_,CARFAX 1-Owner,Personal Use,15
23,2019,Honda,Civic_Sport, 21299, Pompton Plains, NJ ,30360,No Accident or Damage Reported,Sedan,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,11
24,2019,Honda,Civic_LX, 20000, Denville, NJ ,25292,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,10
25,2016,Honda,Pilot_Touring, 29998, Saint James, NY ,47071,No Accident or Damage Reported,SUV,Gray_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,15
26,2019,Honda,Odyssey_Elite, 38000, Princeton, NJ ,39597,No Accident or Damage Reported,Minivan,Red_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,6
27,2019,Honda,Accord_EX, 24231, Lynbrook, NY ,10663,No Accident or Damage Reported,Sedan,Silver_Engine:_4_Cyl_1.5_L_,CARFAX 1-Owner,Personal Use,2
28,2020,Honda,Accord_Sport, 22615, Lynbrook, NY ,36098,No Accident or Damage Reported,Sedan,White_Engine:_4_Cyl_1.5_L_,CARFAX 1-Owner,Personal Use,12
29,2020,Honda,Civic_LX, 22995, Hackettstown, NJ ,14532,No Accident or Damage Reported,Hatchback,Gray_Engine:_4_Cyl_1.5_L_,CARFAX 1-Owner,Personal Use,4
30,2020,Honda,Odyssey_EX_L, 39100, Princeton, NJ ,18302,No Accident or Damage Reported,Minivan,Gray_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,3
31,2018,Honda,Accord_EXL, 24748, Princeton, NJ ,33594,No Accident or Damage Reported,Sedan,White_Engine:_4_Cyl_1.5_L_,CARFAX 1-Owner,Personal Use,10
32,2018,Honda,Odyssey_EX_L, 32900, Lakewood, NJ ,32701,No Accident or Damage Reported,Minivan,Black_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,1
33,2018,Honda,Odyssey_EX_L, 32900, Lakewood, NJ ,30908,No Accident or Damage Reported,Minivan,Blue_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,1
34,2019,Honda,Pilot_EXL, 33805, Ramsey, NJ ,29762,No Accident or Damage Reported,SUV,Black_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,11
35,2020,Honda,Accord_Sport, 25308, WEST NEW YORK, NJ ,20112,No Accident or Damage Reported,Sedan,White_Engine:_4_Cyl_1.5_L_,CARFAX 1-Owner,Personal Use,7
36,2018,Honda,Accord_EXL, 22498, Floral Park, NY ,26774,No Accident or Damage Reported,Sedan,Gray_Engine:_4_Cyl_1.5_L_,CARFAX 1-Owner,Personal Use,4
37,2018,Honda,Pilot_EX, 27998, Floral Park, NY ,23089,No Accident or Damage Reported,SUV,Black_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,4
38,2018,Honda,Accord_Sport, 22779, New York, NY ,35236,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_1.5_L_,CARFAX 1-Owner,Personal Use,11
39,2018,Honda,Civic_Sport, 22595, North Plainfield, NJ ,26573,No Accident or Damage Reported,Hatchback,Black_Engine:_4_Cyl_1.5_L_,CARFAX 1-Owner,Personal Use,12
40,2018,Honda,Accord_EXL, 22395, Nanuet, NY ,85133,No Accident or Damage Reported,Sedan,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,12
41,2020,Honda,Passport_Sport, 33800, White Plains, NY ,4672,No Accident or Damage Reported,SUV,Gray_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,4
42,2018,Honda,Civic_LX, 16575, Bay Shore, NY ,17440,No Accident or Damage Reported,Sedan,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,6
43,2020,Honda,HR-V_LX, 23250, Shrewsbury, NJ ,9807,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_1.8_L_,CARFAX 1-Owner,Personal Use,8
44,2016,Honda,CR-V_EX, 21595, Brooklyn, NY ,37514,No Accident or Damage Reported,SUV,Silver_Engine:_4_Cyl_2.4_L_,CARFAX 1-Owner,Personal Use,1
45,2019,Honda,Civic_EX, 23000, Denville, NJ ,42958,No Accident or Damage Reported,Sedan,White_Engine:_4_Cyl_1.5_L_,CARFAX 1-Owner,Personal Use,10
46,2019,Honda,Civic_EX, 22990, Denville, NJ ,44866,No Accident or Damage Reported,Coupe,Gray_Engine:_4_Cyl_1.5_L_,CARFAX 1-Owner,Personal Use,7
47,2019,Honda,Civic_Sport, 23990, Denville, NJ ,11657,No Accident or Damage Reported,Sedan,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,3
