,Year,Brand,Model,Cost,City,State,Mileage,Accident,Body,Engine,Owners,Usefor,Services
844,2020,Infiniti,QX60_Pure, 37887, Union, NJ ,38470,No Accident or Damage Reported,SUV,Blue_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Rental Use,2
845,2015,Infiniti,Q50_Premium, 23990, Pleasantville, NY,55780,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.7_L_,3+ Owners,Personal Use,19
846,2018,Infiniti,Q50_Red_Sport_400, 36900, Englewood Cliffs, NJ ,45439,No Accident or Damage Reported,Sedan,Gray_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,3
847,2018,Infiniti,QX30_Premium, 24688, Ramsey, NJ ,38548,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,3
848,2020,Infiniti,QX60_Luxe, Call for Price, Long Island City, NY ,6767,No Accident or Damage Reported,SUV,White_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,3
849,2018,Infiniti,Q50_Luxe, 30995, Massapequa, NY ,33327,No Accident or Damage Reported,Sedan,Silver_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,7
850,2017,Infiniti,QX50_Base, 28995, Massapequa, NY ,33246,No Accident or Damage Reported,SUV,White_Engine:_6_Cyl_3.7_L_,CARFAX 1-Owner,Personal Use,8
851,2019,Infiniti,QX50_Essential, 36880, Lynbrook, NY ,34527,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
852,2019,Infiniti,QX50_Luxe, 38888, Lynbrook, NY ,18824,No Accident or Damage Reported,SUV,Blue_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,4
853,2018,Infiniti,QX60_Base, 37995, Lynbrook, NY ,34179,No Accident or Damage Reported,SUV,Black_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,6
854,2009,Infiniti,G37, 11982, Bridgewater, NJ ,73581,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.7_L_,2-Owner,Personal Use,15
855,2014,Infiniti,Q50_Sport, 22599, Freehold, NJ ,49994,Damage Reported,Sedan,Silver_Engine:_6_Cyl_3.7_L_,2-Owner,Personal Use,16
856,2016,Infiniti,Q70, 32999, South Plainfield, NJ ,68986,Minor Damage,Sedan,Black_Engine:_6_Cyl_3.7_L_,2-Owner,Personal Use,19
857,2007,Infiniti,G35, 10399, West Milford, NJ ,111867,Accident Reported,Sedan,White_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,26
858,2012,Infiniti,G25, 14995, Jamaica, NY ,87586,No Accident or Damage Reported,Sedan,White_Engine:_6_Cyl_2.5_L_,2-Owner,Personal Use,23
859,2017,Infiniti,QX70, 31995, Wall Township, NJ ,2964,Branded Title,SUV,Black_Engine:_6_Cyl_3.7_L_,Number of Owners,Personal Use,8
860,2018,Infiniti,QX80_Base, 43682, Fairfield, CT ,75379,Accident/Minor Damage,SUV,Black_Engine:_8_Cyl_5.6_L_,CARFAX 1-Owner,Corporate Use,15
861,2018,Infiniti,QX60_Base, 33946, Avenel, NJ ,38811,Accident Reported,SUV,White_Engine:_6_Cyl_3.5_L_,2-Owner,Personal Use,10
862,2018,Infiniti,QX60_Base, 39995, Commack, NY ,44841,No Accident or Damage Reported,SUV,Gray_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,14
863,2013,Infiniti,G37, 10995, Brooklyn, NY ,98800,No Accident or Damage Reported,Sedan,Gray_Engine:_6_Cyl_3.7_L_,3+ Owners,Personal Use,20
864,2018,Infiniti,Q60_Red_Sport_400, 33950, Bronx, NY ,53388,No Accident or Damage Reported,Coupe,Black_Engine:_6_Cyl_3.0_L_,2-Owner,Personal Use,13
865,2017,Infiniti,QX60_Base, 19777, Amityville, NY ,54100,No Accident or Damage Reported,SUV,Gray_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Lease Use,4
866,2013,Infiniti,JX35_Base, 15995, Robbinsville, NJ ,108074,Damage Reported,SUV,Black_Engine:_6_Cyl_3.5_L_,3+ Owners,Multiple Use,36
867,2018,Infiniti,Q50_Luxe, 31999, North Plainfield, NJ ,30860,No Accident or Damage Reported,Sedan,Silver_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,5
868,2010,Infiniti,EX35_Journey, 13500, Commack, NY ,108786,No Accident or Damage Reported,SUV,Silver_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,19
869,2013,Infiniti,M37, 24999, Teterboro, NJ ,36542,No Accident or Damage Reported,Sedan,Gray_Engine:_6_Cyl_3.7_L_,CARFAX 1-Owner,Personal Use,22
870,2018,Infiniti,Q60_Luxe, 33940, Brooklyn, NY ,33916,Minor Damage,Coupe,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,2
871,2015,Infiniti,Q50, 21940, Jersey City, NJ ,64544,Minor Damage,Sedan,Black_Engine:_6_Cyl_3.7_L_,2-Owner,Personal Use,8
872,2007,Infiniti,G35, 9995, Lodi, NJ ,101661,Accident Reported,Sedan,Gray_Engine:_6_Cyl_3.5_L_,2-Owner,Personal Use,29
873,2019,Infiniti,QX60_Luxe, Call for Price, Long Island City, NY ,48820,No Accident or Damage Reported,SUV,Blue_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,2
874,2019,Infiniti,Q50_Luxe, Call for Price, Long Island City, NY ,14877,No Accident or Damage Reported,Sedan,Gray_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,1
875,2019,Infiniti,QX60_Luxe, 36877, West Long Branch, NJ ,41554,No Accident or Damage Reported,SUV,Red_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,12
876,2012,Infiniti,M37, 12299, Ramsey, NJ ,138902,Accident/Minor Damage,Sedan,Black_Engine:_6_Cyl_3.7_L_,2-Owner,Personal Use,36
877,2017,Infiniti,QX80, 37995, Long Island City, NY ,49677,Branded Title,SUV,Beige_Engine:_8_Cyl_5.6_L_,2-Owner,Multiple Use,3
878,2016,Infiniti,QX80, 35985, Paterson, NJ ,72788,Accident Reported,SUV,Black_Engine:_8_Cyl_5.6_L_,3+ Owners,Multiple Use,12
879,2013,Infiniti,G37, Call for Price, Brooklyn, NY ,148529,Accident Reported,Sedan,Black_Engine:_6_Cyl_3.7_L_,CARFAX 1-Owner,Personal Use,27
880,2017,Infiniti,QX50_Base, 25745, Lakewood, NJ ,61665,No Accident or Damage Reported,SUV,Blue_Engine:_6_Cyl_3.7_L_,2-Owner,Personal Use,14
881,2019,Infiniti,QX50_Luxe, 32188, Englewood, NJ ,48787,Accident Reported,SUV,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,7
882,2018,Infiniti,QX60_Base, 38162, Blauvelt, NY ,23009,Accident/Minor Damage,SUV,Gray_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,6
883,2018,Infiniti,QX60_Base, 35396, Blauvelt, NY ,28528,No Accident or Damage Reported,SUV,Blue_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,3
884,2014,Infiniti,Q50_Premium, 23990, Newark, NJ,52980,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.7_L_,2-Owner,Personal Use,15
885,2018,Infiniti,Q50_Sport, 26980, Freeport, NY ,42338,No Accident or Damage Reported,Sedan,Blue_Engine:_6_Cyl_3.0_L_,Number of Owners,Commercial Use,0
886,2012,Infiniti,M37, 18495, Lodi, NJ ,61979,No Accident or Damage Reported,Sedan,White_Engine:_6_Cyl_3.7_L_,2-Owner,Multiple Use,2
887,2015,Infiniti,Q40, 14599, Lodi, NJ ,94184,Accident Reported,Sedan,White_Engine:_6_Cyl_3.7_L_,2-Owner,Personal Use,10
888,2010,Infiniti,QX56_Base, 14900, Brooklyn, NY ,113409,Odometer Rollback,SUV,Silver_Engine:_8_Cyl_5.6_L_,3+ Owners,Personal Use,26
889,2015,Infiniti,Q40, 14995, Brooklyn, NY ,97753,Accident/Minor Damage,Sedan,Black_Engine:_6_Cyl_3.7_L_,3+ Owners,Personal Use,5
890,2020,Infiniti,Q50_Sport, Call for Price, East Hanover, NJ ,29130,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,4
891,2005,Infiniti,QX56_Base, 4495, Brooklyn, NY ,98733,Branded Title,SUV,Black_Engine:_8_Cyl_5.6_L_,3+ Owners,Multiple Use,22
892,2017,Infiniti,Q60_Sport, 24950, Bronx, NY ,38261,Accident Reported,Coupe,Blue_Engine:_6_Cyl_3.0_L_,Number of Owners,Lease Use,4
893,2017,Infiniti,Q60_Premium, 30900, Ozone Park, NY ,51441,Accident Reported,Coupe,Blue_Engine:_6_Cyl_3.0_L_,2-Owner,Personal Use,8
