,Year,Brand,Model,Cost,City,State,Mileage,Accident,Body,Engine,Owners,Usefor,Services
0,2020,Lexus,UX_250h_F_Sport, 37460, Brooklyn, NY ,3458,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,4
1,2021,Lexus,NX_300, 42000, Englewood, NJ ,2488,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,2
2,2018,Lexus,NX_300, 32995, Bayside, NY ,21013,No Accident or Damage Reported,SUV,Silver_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,6
3,2018,Lexus,IS_300, 29500, Whippany, NJ ,29939,No Accident or Damage Reported,Sedan,Gray_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,11
4,2020,Lexus,RX_350L, 49000, Nyack, NY ,8933,No Accident or Damage Reported,SUV,Beige_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,3
5,2018,Lexus,LS_500, 55800, Whippany, NJ ,39338,No Accident or Damage Reported,Sedan,Blue_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,14
6,2018,Lexus,RX_450h, 42895, Whippany, NJ ,21526,No Accident or Damage Reported,SUV,Beige_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,8
7,2019,Lexus,NX_300, 30751, Ramsey, NJ ,31299,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,6
8,2021,Lexus,NX_300h, 43664, PARSIPPANY, NJ ,1958,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,1
9,2017,Lexus,RX_350, 35606, Union, NJ ,44717,No Accident or Damage Reported,SUV,White_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,14
10,2019,Lexus,ES_350, 36982, White Plains, NY ,12140,No Accident or Damage Reported,Sedan,White_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,2
11,2019,Lexus,ES_350, 36706, Farmingdale, NY ,22907,No Accident or Damage Reported,Sedan,Green_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,9
12,2019,Lexus,UX_250h, 33610, White Plains, NY ,17598,No Accident or Damage Reported,SUV,Red_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,2
13,2017,Lexus,IS_300, 28995, Long Island City, NY ,13690,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,9
14,2018,Lexus,ES_350, 28998, Oakhurst, NJ ,28715,No Accident or Damage Reported,Sedan,Beige_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,1
15,2018,Lexus,ES_300h, 30588, Flemington, NJ ,25260,No Accident or Damage Reported,Sedan,Red_Engine:_4_Cyl_2.5_L_,CARFAX 1-Owner,Personal Use,9
16,2018,Lexus,NX_300_F_Sport, 34288, White Plains, NY ,30158,No Accident or Damage Reported,SUV,Silver_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,1
17,2018,Lexus,RX_350, 37995, Freehold, NJ ,22688,No Accident or Damage Reported,SUV,Silver_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,2
18,2018,Lexus,RX_350L, 40895, Glen Cove, NY ,19778,No Accident or Damage Reported,SUV,Silver_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,8
19,2018,Lexus,RX_350, 37995, Freehold, NJ ,20641,No Accident or Damage Reported,SUV,Gray_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,3
20,2018,Lexus,GX_460, 43229, Larchmont, NY ,20869,No Accident or Damage Reported,SUV,Gray_Engine:_8_Cyl_4.6_L_,CARFAX 1-Owner,Personal Use,1
21,2019,Lexus,NX_300_F_Sport, 37992, Whippany, NJ ,11411,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,4
22,2019,Lexus,GX_460, 45995, Freehold, NJ ,36375,No Accident or Damage Reported,SUV,White_Engine:_8_Cyl_4.6_L_,CARFAX 1-Owner,Personal Use,2
23,2018,Lexus,GX_460, 41182, Farmingdale, NY ,35247,No Accident or Damage Reported,SUV,8_Cyl_4.6_L_,CARFAX 1-Owner,Personal Use,20
24,2019,Lexus,UX_250h, 32467, Farmingdale, NY ,16116,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,8
25,2017,Lexus,RX_350, 36995, Freehold, NJ ,48183,No Accident or Damage Reported,SUV,White_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,2
26,2018,Lexus,IS_300_F_Sport, 30892, White Plains, NY ,53235,No Accident or Damage Reported,Sedan,Silver_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,4
27,2020,Lexus,ES_350_F_Sport, 45018, Larchmont, NY ,8360,No Accident or Damage Reported,Sedan,Gray_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,2
28,2018,Lexus,IS_300, 29438, Ramsey, NJ ,14013,No Accident or Damage Reported,Sedan,White_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,6
29,2019,Lexus,ES_350_F_Sport, 37969, New York, NY ,31015,No Accident or Damage Reported,Sedan,Silver_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,16
30,2021,Lexus,IS_300, 40977, Maplewood, NJ ,2247,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,5
31,2018,Lexus,NX_300, 32295, Mount Kisco, NY ,21619,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,2
32,2019,Lexus,GX_460_Premium, 44222, New York, NY ,27436,No Accident or Damage Reported,SUV,Black_Engine:_8_Cyl_4.6_L_,CARFAX 1-Owner,Personal Use,2
33,2021,Lexus,IS_350_F_Sport, 46990, Rochelle Park, NJ ,8924,No Accident or Damage Reported,Sedan,White_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,6
34,2020,Lexus,GX_460, 52881, Great Neck, NY ,11068,No Accident or Damage Reported,SUV,8_Cyl_4.6_L_,CARFAX 1-Owner,Personal Use,4
35,2018,Lexus,RX_350, 38699, Larchmont, NY ,36931,No Accident or Damage Reported,SUV,Black_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,2
36,2018,Lexus,GX_460, 37318, Little Falls, NJ ,65696,No Accident or Damage Reported,SUV,Black_Engine:_8_Cyl_4.6_L_,CARFAX 1-Owner,Personal Use,1
37,2018,Lexus,RX_350, 37969, New York, NY ,20963,No Accident or Damage Reported,SUV,Red_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,10
38,2018,Lexus,LS_500, 56869, New York, NY ,11454,No Accident or Damage Reported,Sedan,Gray_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,6
39,2021,Lexus,IS_300, 40495, Glen Cove, NY ,5601,No Accident or Damage Reported,Sedan,Gray_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,5
40,2021,Lexus,GX_460_Premium, 55999, Maplewood, NJ ,8740,No Accident or Damage Reported,SUV,Gray_Engine:_8_Cyl_4.6_L_,CARFAX 1-Owner,Personal Use,5
41,2018,Lexus,NX_300, 30695, Glen Cove, NY ,45891,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,13
42,2017,Lexus,LS_460_L, 46969, New York, NY ,31882,No Accident or Damage Reported,Sedan,Gray_Engine:_8_Cyl_4.6_L_,CARFAX 1-Owner,Personal Use,7
43,2018,Lexus,RX_350L, 39991, Smithtown, NY ,19127,No Accident or Damage Reported,SUV,6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,4
44,2019,Lexus,NX_300, 31995, Freehold, NJ ,23305,No Accident or Damage Reported,SUV,Blue_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,3
45,2018,Lexus,NX_300, 29999, Farmingdale, NY ,39970,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,14
46,2018,Lexus,ES_350, 27999, Farmingdale, NY ,40727,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,20
47,2017,Lexus,ES_350, 26999, Farmingdale, NY ,32827,No Accident or Damage Reported,Sedan,6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,15
48,2019,Lexus,NX_300, 33495, Long Island City, NY ,12015,No Accident or Damage Reported,SUV,Silver_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,10
49,2018,Lexus,RX_350L, 37944, Farmingdale, NY ,38979,No Accident or Damage Reported,SUV,Black_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,11
